9|8,75,25,25,56,63,73,64,70,73,80,40,29,75,54,0
9|8,56,28,40,68,52,80,73,76,72,88,63,30,75,60,8
9|5,70,29,10,60,50,76,80,80,83,80,60,20,75,58,0
9|5,66,29,30,52,56,70,80,72,76,86,52,30,75,62,5
9|4,48,24,43,64,68,72,70,72,48,92,60,32,68,56,3
9|4,36,32,50,60,76,84,66,64,60,88,60,20,76,64,10
9|4,36,32,50,56,76,84,66,60,60,88,60,20,76,64,10
9|4,24,84,16,70,80,73,63,76,53,100,27,8,56,24,0
9|20,76,26,20,70,43,63,64,80,96,86,32,8,54,37,0
9|20,70,25,0,70,53,70,64,83,80,76,32,20,70,58,0
9|20,62,29,15,64,56,80,76,80,86,76,48,25,75,54,5
9|16,68,40,50,64,52,68,73,76,72,96,46,25,70,50,0
9|16,66,25,5,63,56,73,64,76,80,80,48,20,75,58,0
9|16,64,40,50,68,52,72,70,72,72,100,53,20,75,50,0
9|16,63,26,24,64,60,76,72,80,80,90,40,30,75,45,5
9|15,70,37,40,64,60,73,72,76,73,86,44,25,75,50,0
9|15,70,33,30,68,56,73,76,80,83,86,40,30,75,50,0
9|15,70,25,20,64,56,63,76,80,86,80,56,30,75,58,5
9|13,73,43,0,63,40,90,23,56,100,70,66,4,58,70,12
9|13,73,30,24,70,46,66,64,66,93,86,32,12,54,33,0
9|13,66,20,4,70,50,63,64,76,93,76,36,12,58,45,0
9|12,66,30,24,68,56,66,64,76,86,86,36,15,54,41,0
9|12,60,43,32,64,56,70,64,72,76,93,32,20,75,45,0
9|12,60,32,36,68,52,80,76,76,76,84,56,30,75,55,4
9|12,52,36,50,68,60,80,66,72,68,92,60,24,64,48,6
9|12,48,36,50,68,60,76,70,76,72,96,53,28,72,52,6
9|10,75,41,40,64,53,73,68,80,83,90,40,20,75,41,0
9|10,70,33,30,60,60,70,80,76,80,86,40,30,75,58,0
9|10,70,25,20,64,56,63,76,80,83,76,48,30,75,62,5
8|8,66,54,25,63,60,83,64,80,86,76,44,16,37,62,0
8|8,54,45,25,60,66,90,64,76,73,73,44,25,41,70,5
8|8,54,45,25,60,66,86,64,80,73,73,36,25,41,66,5
8|8,54,33,20,53,60,86,72,70,80,73,52,20,41,70,5
8|5,58,41,40,56,63,86,76,76,80,80,60,25,41,66,5
8|5,54,54,35,68,63,86,68,76,76,76,56,20,41,66,10
8|5,54,54,35,68,60,86,68,76,76,76,56,20,41,66,10
8|4,54,54,30,56,66,83,64,70,83,80,40,25,37,58,5
